title,city,country,company,career_level,work_type,posted_at,expire_at,description,requirements,keywords,jop_url,redirect_url
Oracle Developer,Giza,Egypt,Kasrawy Group,Experienced,Full Time,2025-12-20 12:25:15,2026-02-18 12:25:15,"Design, develop, and maintain Oracle database applications to support business operations and proces...","Bachelor’s degree in Computer Science, Information Technology, or a related field. 1-7 years of hand...","Oracle PL/SQL, SQL, Database Design, Data Integration, Performance Tuning, Troubleshooting, ETL Processes, Software Development Lifecycle, Problem Solving, Technical Documentation",https://wuzzuf.net/jobs/p/u9qw78j3ztfg-oracle-developer-kasrawy-group-giza-egypt,
Logistic Supervisor,Monufya,Egypt,UNITED METALS COMPANY ,Experienced,Full Time,2025-12-20 12:02:44,2026-02-18 12:02:44,Handling shipping lines for outbound and inbound shipments. Coordinating with customs authorities fo...,"Minimum of 7 years of experience in logistics, supply chain management, or a related field. Proven e...","Logistics Management, Supply Chain Optimization, ERP/Logistics Software Proficiency, Purchasing, Foreign Purchasing, International Purchasing, Logistics Operations, Logistics, Logistic, Procurement, Foreign Procurement, Procurement Management, Purchasing Management",https://wuzzuf.net/jobs/p/2ydjhp7nidfm-logistic-supervisor-united-metals-company-monufya-egypt,
Inside Sales Representatives - Furniture,Cairo,Egypt,,Experienced,Full Time,2025-12-20 11:59:49,2026-02-18 11:59:49,track sales targets for your team Suggest and implement improvements in the sales administration pro...,Proven work experience as an Inside sales manager Hands-on experience with CRM software and MS Excel...,"Sales, Sales Target, Inside Sales, Furniture Sales, Furniture Design, Outdoor Sales, Indoor Sales, Sales Plan, Sales Planning, Sales Plans, Property Sales, Furniture Sales Target, Sales Indoor",https://wuzzuf.net/jobs/p/mzrxlnkp8sas-inside-sales-representatives-furniture-cairo-egypt,
HR Assistant,Cairo,Egypt,The Future for Business administration,Experienced,Full Time,2025-12-20 11:35:33,2026-02-18 11:35:33,"Key Responsibilities: Administrative Support: Scheduling, managing calendars, answering calls/emails...",Essential Skills & Qualifications: Strong organizational skills and attention to detail. Excellent w...,"Human Resources Administration, Recruitment and Onboarding, Employee Records Management, Communication, Attention to Detail, HRIS (Human Resources Information Systems), Recruitment, Phone Screening, Interviewing, Sourcing, Talent acquisition, Talent management, Talent Development, Talent assessment, HR Systems, HR Policies, HR Admin, HR Specialist, HRMS, HRMIS, HRM, HRIS, HR Strategy, Administration, Recruiter, Headhunting, Niche Recruiter, Mass Hiring, Hiring, White Collar",https://wuzzuf.net/jobs/p/oyotkwonkbfk-hr-assistant-the-future-for-business-administration-cairo-egypt,
Quantity Surveying Engineer,Cairo,Egypt,ADCONS,Experienced,Full Time,2025-12-20 11:15:06,2026-02-18 11:15:06,"Prepare detailed cost estimates, budgets, and bills of quantities for construction projects. Monitor...","Bachelor’s degree in Civil Engineering, Quantity Surveying, or a related field. 2 to 5 years of prov...","Quantity surveying, Cost estimation, Budget management, Contract administration, Analytical thinking, Negotiation, Project management, Construction documentation, Communication, Attention to detail",https://wuzzuf.net/jobs/p/pgn5tlbmhibz-quantity-surveying-engineer-adcons-cairo-egypt,
Planning Engineer,Cairo,Egypt,ADCONS,Experienced,Full Time,2025-12-20 11:13:23,2026-02-18 11:13:23,Develop and maintain detailed project schedules using industry-standard planning tools. Coordinate w...,"Bachelor’s degree in Civil Engineering, Construction Management, or a related field. 2-5 years of ex...","Project Scheduling, Primavera P6, MS Project, Critical Path Method (CPM), Construction Planning, Risk Analysis, Resource Allocation, Analytical Thinking, Communication, Problem Solving",https://wuzzuf.net/jobs/p/ohxcgwcjanvs-planning-engineer-adcons-cairo-egypt,
Cost Engineer,Cairo,Egypt,ADCONS,Experienced,Full Time,2025-12-20 11:08:57,2026-02-18 11:08:57,"Prepare, monitor, and update project cost estimates, budgets, and forecasts throughout all project p...","Bachelor’s degree in Engineering, Construction Management, Quantity Surveying, or a related field. 2...","Cost estimation, Budgeting and forecasting, Cost control, Project management, Analytical thinking, Attention to detail, Communication, Microsoft Excel, Risk analysis, Construction software proficiency",https://wuzzuf.net/jobs/p/csmfekpqeyxp-cost-engineer-adcons-cairo-egypt,
Mechanical Site Engineer,Cairo,Egypt,ADCONS,Experienced,Full Time,2025-12-20 10:59:10,2026-02-18 10:59:10,"Supervise and oversee all mechanical works on-site to ensure compliance with project specifications,...",Bachelor’s degree in Mechanical Engineering or a related field. 2 to 5 years of proven experience in...,"Mechanical Engineering, Site Supervision, HVAC Systems, Plumbing Systems, Fire Fighting Systems, Technical Drawing Interpretation, Project Coordination, Problem Solving, Health and Safety Compliance, Communication",https://wuzzuf.net/jobs/p/09bwwbrrx7tq-mechanical-site-engineer-adcons-cairo-egypt,
Civil Site Engineer,Cairo,Egypt,ADCONS,Experienced,Full Time,2025-12-20 10:57:16,2026-02-18 10:57:16,Supervise and oversee daily site operations to ensure construction activities are executed according...,Bachelor’s degree in Civil Engineering or a related field. 2 to 5 years of proven experience in civi...,"Site supervision, Construction management, Technical drawing interpretation, Project coordination, Quality assurance, Health and safety compliance, Problem-solving, Time management, Communication, Teamwork",https://wuzzuf.net/jobs/p/r0dyhxdux2ok-civil-site-engineer-adcons-cairo-egypt,
Electrical Site Engineer,Cairo,Egypt,ADCONS,Experienced,Full Time,2025-12-20 10:55:40,2026-02-18 10:55:40,Supervise and coordinate all on-site electrical activities to ensure project milestones and quality ...,Bachelor’s degree in Electrical Engineering or a related field. 2 to 5 years of proven experience in...,"Electrical system design, Site supervision, Project coordination, Technical drawing interpretation, Problem-solving, Quality assurance, Health and safety compliance, Communication, Time management, AutoCAD proficiency",https://wuzzuf.net/jobs/p/wyxzrcsplid4-electrical-site-engineer-adcons-cairo-egypt,
